"","PassengerId","Survived","PassengerID","Survived1"
"1",892,0,892,FALSE
"2",893,1,893,TRUE
"3",894,0,894,FALSE
"4",895,0,895,FALSE
"5",896,1,896,TRUE
"6",897,0,897,FALSE
"7",898,1,898,TRUE
"8",899,0,899,FALSE
"9",900,1,900,TRUE
"10",901,0,901,FALSE
"11",902,0,902,FALSE
"12",903,0,903,FALSE
"13",904,1,904,TRUE
"14",905,0,905,FALSE
"15",906,1,906,TRUE
"16",907,1,907,TRUE
"17",908,0,908,FALSE
"18",909,0,909,FALSE
"19",910,1,910,TRUE
"20",911,1,911,TRUE
"21",912,0,912,TRUE
"22",913,0,913,FALSE
"23",914,1,914,TRUE
"24",915,0,915,TRUE
"25",916,1,916,TRUE
"26",917,0,917,FALSE
"27",918,1,918,TRUE
"28",919,0,919,FALSE
"29",920,0,920,FALSE
"30",921,0,921,FALSE
"31",922,0,922,FALSE
"32",923,0,923,FALSE
"33",924,1,924,TRUE
"34",925,1,925,TRUE
"35",926,0,926,TRUE
"36",927,0,927,FALSE
"37",928,1,928,TRUE
"38",929,1,929,TRUE
"39",930,0,930,FALSE
"40",931,0,931,FALSE
"41",932,0,932,FALSE
"42",933,0,933,FALSE
"43",934,0,934,FALSE
"44",935,1,935,TRUE
"45",936,1,936,TRUE
"46",937,0,937,FALSE
"47",938,0,938,FALSE
"48",939,0,939,FALSE
"49",940,1,940,TRUE
"50",941,1,941,TRUE
"51",942,0,942,TRUE
"52",943,0,943,FALSE
"53",944,1,944,TRUE
"54",945,1,945,FALSE
"55",946,0,946,FALSE
"56",947,0,947,FALSE
"57",948,0,948,FALSE
"58",949,0,949,FALSE
"59",950,0,950,FALSE
"60",951,1,951,TRUE
"61",952,0,952,FALSE
"62",953,0,953,FALSE
"63",954,0,954,FALSE
"64",955,1,955,TRUE
"65",956,0,956,FALSE
"66",957,1,957,TRUE
"67",958,1,958,TRUE
"68",959,0,959,FALSE
"69",960,0,960,FALSE
"70",961,1,961,TRUE
"71",962,1,962,TRUE
"72",963,0,963,FALSE
"73",964,1,964,TRUE
"74",965,0,965,FALSE
"75",966,1,966,TRUE
"76",967,0,967,FALSE
"77",968,0,968,FALSE
"78",969,1,969,TRUE
"79",970,0,970,FALSE
"80",971,1,971,TRUE
"81",972,0,972,FALSE
"82",973,0,973,TRUE
"83",974,0,974,FALSE
"84",975,0,975,FALSE
"85",976,0,976,FALSE
"86",977,0,977,FALSE
"87",978,1,978,TRUE
"88",979,1,979,TRUE
"89",980,1,980,TRUE
"90",981,0,981,FALSE
"91",982,1,982,TRUE
"92",983,0,983,FALSE
"93",984,1,984,TRUE
"94",985,0,985,FALSE
"95",986,0,986,FALSE
"96",987,0,987,FALSE
"97",988,1,988,TRUE
"98",989,0,989,FALSE
"99",990,1,990,TRUE
"100",991,0,991,FALSE
"101",992,1,992,TRUE
"102",993,0,993,FALSE
"103",994,0,994,FALSE
"104",995,0,995,FALSE
"105",996,1,996,TRUE
"106",997,0,997,FALSE
"107",998,0,998,FALSE
"108",999,0,999,FALSE
"109",1000,0,1000,FALSE
"110",1001,0,1001,FALSE
"111",1002,0,1002,FALSE
"112",1003,1,1003,TRUE
"113",1004,1,1004,TRUE
"114",1005,1,1005,TRUE
"115",1006,1,1006,TRUE
"116",1007,0,1007,FALSE
"117",1008,0,1008,FALSE
"118",1009,1,1009,TRUE
"119",1010,0,1010,FALSE
"120",1011,1,1011,TRUE
"121",1012,1,1012,TRUE
"122",1013,0,1013,FALSE
"123",1014,1,1014,TRUE
"124",1015,0,1015,FALSE
"125",1016,0,1016,FALSE
"126",1017,1,1017,TRUE
"127",1018,0,1018,FALSE
"128",1019,1,1019,FALSE
